molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL2391742,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21,8.85,1.4,nM
CHEMBL2391741,O=C1OCc2ccc(OCc3ccc(F)cc3)cc21,8.19,6.4,nM
CHEMBL2391740,O=C1OCc2ccc(OCc3ccc(Br)cc3)cc21,8.62,2.4,nM
CHEMBL2391739,O=C1OCc2ccc(OCc3ccc(Cl)cc3)cc21,8.55,2.8,nM
CHEMBL144898,O=C1OCc2ccc(OCc3ccccc3)cc21,7.62,24.0,nM
CHEMBL2391738,O=C1OCc2ccccc21,4.54,28600.0,nM
CHEMBL2326864,CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,4.22,60000.0,nM
CHEMBL2392121,CC(=O)Nc1nc(CCc2ccc(Cc3c[nH]c(N)n3)cc2)cs1.Cl,4.96,11000.0,nM
CHEMBL2402067,COc1cc(/C=C/c2ccc(NCc3cc(N(C)C)ccc3O)cc2)cc(OC)c1,4.92,12160.0,nM
CHEMBL2402160,CN(C)c1ccc(O)c(CNc2ccc(/C=C/c3cc(O)cc(O)c3)cc2)c1,4.85,14090.0,nM
CHEMBL2409540,C/C(=N/Nc1nc(-c2ccccc2)cs1)c1ccncc1,7.89,13.0,nM
CHEMBL557959,CCOC(=O)c1csc(N/N=C(\C)c2ccncc2)n1,6.89,127.4,nM
CHEMBL2409538,C/C(=N\Nc1nc(-c2ccccc2)cs1)c1cccnc1,6.03,944.0,nM
CHEMBL550488,CCOC(=O)c1csc(N/N=C(\C)c2cccnc2)n1,7.14,72.2,nM
CHEMBL2409543,C/C(=N\Nc1nc(C)cs1)c1cccnc1,4.87,13633.0,nM
CHEMBL2409542,C/C(=N\Nc1nc(-c2ccccc2)cs1)c1ccccn1,5.42,3840.0,nM
CHEMBL2408585,O=C1CCCc2nc(Nc3cccc(Cl)c3)ncc21,7.14,71.8,nM
CHEMBL2408408,Clc1cccc(Nc2ncc3c(n2)CCCC3)c1,7.11,77.9,nM
CHEMBL2408575,Cc1ccc(Nc2ncc3c(n2)CC(C)CC3=O)cn1,7.19,65.0,nM
CHEMBL2408569,CC1CC(=O)c2cnc(Nc3ccc(C#N)cc3)nc2C1,8.35,4.5,nM
CHEMBL2408565,Cc1ccc(Nc2ncc3c(n2)CC(C)CC3=O)cc1,8.1,7.98,nM
CHEMBL2408563,CC1(C)CC(=O)c2cnc(Nc3ccc(Cl)cc3)nc2C1,7.46,34.4,nM
CHEMBL2408561,N#Cc1cccc(Nc2ncc3c(n2)CCCC3=O)c1,6.03,927.0,nM
CHEMBL2418199,c1ccc(-c2nc3ccc(NC4CCCCC4)nc3o2)cc1,5.236666666666666,2539.2,nM
CHEMBL2418203,c1ccc(-c2nc3ccc(N4CCCCC4)nc3o2)cc1,5.753333333333334,1372.8,nM
CHEMBL2418209,Clc1ccc(-c2nc3ccc(N4CCCCC4)nc3o2)cc1,6.05,889.5,nM
CHEMBL2418204,Fc1ccccc1-c1nc2ccc(N3CCCCC3)nc2o1,6.18,665.1,nM
CHEMBL2418213,Clc1ccc(-c2nc3ccc(N4CCCCC4)nc3s2)cc1,6.45,357.9,nM
CHEMBL2418205,Fc1cccc(-c2nc3ccc(N4CCCCC4)nc3o2)c1,6.57,271.8,nM
CHEMBL2418212,Clc1ccccc1-c1nc2ccc(N3CCCCC3)nc2s1,6.77,171.4,nM
CHEMBL2418211,Fc1ccc(-c2nc3ccc(N4CCCCC4)nc3s2)cc1,7.58,26.5,nM
CHEMBL2417755,CN1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,6.47,340.0,nM
CHEMBL2417754,CN1N=C(c2ccc(O)cc2O)CC1c1cccc(Cl)c1,6.75,180.0,nM
CHEMBL2417753,CN1N=C(c2ccc(O)cc2O)CC1c1ccccc1Cl,6.52,300.0,nM
CHEMBL2417750,Cc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C,5.69,2040.0,nM
CHEMBL2417749,CN1N=C(c2ccc(O)cc2O)CC1c1ccc(F)cc1,6.31,490.0,nM
CHEMBL2417747,CN1N=C(c2ccc(O)cc2O)CC1c1ccccc1F,5.41,3870.0,nM
