molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL2333135,CNc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,7.03,56.0,nM
CHEMBL2333134,CS(=O)(=O)c1ccc(-c2ccc3c(NC4CCOC4)c(C(N)=O)nnc3c2)cc1,7.6066666666666665,53.0,nM
CHEMBL2333133,CS(=O)(=O)c1ccc(-c2ccc3c(NC4CC4)c(C(N)=O)nnc3c2)cc1,7.3066666666666675,52.0,nM
CHEMBL2333132,CS(=O)(=O)c1ccc(-c2ccc3c(NC4CCOCC4)c(C(N)=O)nnc3c2)cc1,7.593333333333334,32.0,nM
CHEMBL2333131,CCNc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,7.313333333333333,55.0,nM
CHEMBL2333130,CS(=O)(=O)c1ccc(-c2ccc3c(NCC4CC4)c(C(N)=O)nnc3c2)cc1,7.703333333333333,27.0,nM
CHEMBL2333129,CS(=O)(=O)c1ccc(-c2ccc3c(NC4CCC4)c(C(N)=O)nnc3c2)cc1,7.906666666666666,19.0,nM
CHEMBL2333128,C[C@@H](Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12)C1CC1,8.575,7.0,nM
CHEMBL2333127,CC[C@@H](C)Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,8.7,4.0,nM
CHEMBL2333126,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,7.736666666666667,27.0,nM
CHEMBL2333125,CC(C)Nc1c(C(N)=O)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,7.419999999999999,35.0,nM
CHEMBL250364,CS(=O)(=O)c1ccc(-c2ccc3c(Nc4ccccc4)c(C(N)=O)cnc3c2)cc1,6.11,781.0,nM
CHEMBL2347818,C[C@@H](Nc1c(C#N)cnc2cc(-c3ccc(-n4ccoc4=O)cc3)ccc12)C1CC1,7.445,27.0,nM
CHEMBL2347817,C[C@@H](Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12)C1CC1,7.375,39.0,nM
CHEMBL2347816,CC(=O)N(C)c1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,5.779999999999999,1177.0,nM
CHEMBL2347815,CS(=O)(=O)c1ccc(-c2ccc3c(-n4ccnc4)c(C#N)cnc3c2)cc1,6.234999999999999,498.0,nM
CHEMBL2347814,CN(c1ccccc1)c1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,6.455,278.0,nM
CHEMBL2347813,CN1CCN(c2c(C#N)cnc3cc(-c4ccc(S(C)(=O)=O)cc4)ccc23)CC1,6.734999999999999,120.0,nM
CHEMBL2347812,CS(=O)(=O)c1ccc(-c2ccc3c(N4CCCCC4)c(C#N)cnc3c2)cc1,7.255000000000001,59.0,nM
CHEMBL2347811,CN(C)c1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,7.635,27.0,nM
CHEMBL2347810,CS(=O)(=O)c1ccc(-c2ccc3c(N4CCC4)c(C#N)cnc3c2)cc1,7.824999999999999,14.0,nM
CHEMBL2347809,Cn1cc(-c2ccc3c(N4CCC4)c(C#N)cnc3c2)cn1,7.945,13.0,nM
CHEMBL2347808,CC(C)Nc1c(C#N)cnc2ccccc12,6.765000000000001,288.0,nM
CHEMBL2347807,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(Cl)s3)ccc12,7.075,65.0,nM
CHEMBL2347806,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)nc3)ccc12,7.255000000000001,48.0,nM
CHEMBL2347805,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N(C)C)cc3)ccc12,7.49,28.0,nM
CHEMBL2347804,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N4CCCC4)cc3)ccc12,7.82,19.0,nM
