molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL66900,CCc1nn(-c2cccc(OC)c2)c2ncnc(N/N=C/c3ccncc3)c12,7.9,12.59,nM
CHEMBL308455,CCCc1nn(-c2cccc(OC)c2)c2ncnc(N/N=C/c3ccncc3)c12,8.0,10.0,nM
CHEMBL63595,COc1ccccc1-n1ncc2c(N/N=C/c3ccncc3)ncnc21,5.6,2511.89,nM
CHEMBL66292,COc1cccc(-n2ncc3c(N/N=C/c4ccc(S(C)(=O)=O)cc4)ncnc32)c1,8.6,2.512,nM
CHEMBL309152,COc1cccc(-n2ncc3c(N/N=C/c4ccc(NC(=O)CCN(C)C)cc4)ncnc32)c1,8.3,5.012,nM
CHEMBL308454,C(=N/Nc1ncnc2c1cnn2-c1ccncc1)\c1ccncc1,8.5,3.162,nM
CHEMBL303433,COc1cccc(-n2ncc3c(N/N=C/c4ccc(NS(C)(=O)=O)cc4)ncnc32)c1,7.8,15.85,nM
CHEMBL63728,COc1cc(/C=N/Nc2ncnc3c2cnn3C(C)C)ccc1O,5.6,2511.89,nM
CHEMBL63348,C=CCOc1ccc(/C=N/Nc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,6.8,158.49,nM
CHEMBL294592,Cc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1,6.8,158.49,nM
CHEMBL68242,COc1ccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)cc1,6.0,1000.0,nM
CHEMBL66510,CCOc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1,7.0,100.0,nM
CHEMBL307311,COc1cccc(-n2ncc3c(N/N=C/c4ccccc4F)ncnc32)c1,6.9,125.89,nM
CHEMBL291425,CC(=O)Nc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1,6.8,158.49,nM
CHEMBL67310,Brc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1,6.6,251.19,nM
CHEMBL302048,COc1ccc(/C=N/Nc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,7.5,31.62,nM
CHEMBL68450,COc1cccc(-n2nc(C)c3c(N/N=C/c4ccncc4)ncnc32)c1,8.0,10.0,nM
CHEMBL63727,C(=N/Nc1ncnc2c1cnn2-c1ccccc1)\c1ccncc1,7.0,100.0,nM
CHEMBL69588,COc1cccc(-n2ncc3c(N/N=C/c4cccc(N)c4)ncnc32)c1,8.0,10.0,nM
CHEMBL67799,COc1cccc(-n2ncc3c(N/N=C/c4ccc(F)c(F)c4)ncnc32)c1,7.8,15.85,nM
CHEMBL303321,COc1cccc(-n2ncc3c(N/N=C/c4ccc(OCCN(C)C)cc4)ncnc32)c1,8.2,6.31,nM
CHEMBL68397,C(=N/Nc1ncnc2c1cnn2-c1nccs1)\c1ccncc1,7.4,39.81,nM
CHEMBL69526,C(=N/Nc1ncnc2c1cnn2-c1cccc(NCC2CC2)c1)\c1ccncc1,5.7,1995.26,nM
CHEMBL308430,COc1cccc(-n2ncc3c(N/N=C/c4ccc(O)cc4)ncnc32)c1,7.9,12.59,nM
CHEMBL66004,COc1cc(/C=N/Nc2ncnc3[nH]ncc23)ccc1O,5.5,3162.28,nM
CHEMBL66910,C(=N/Nc1ncnc2c1cnn2-c1cccnc1)\c1ccncc1,7.5,31.62,nM
CHEMBL66791,CCNCc1ccc(/C=N/Nc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,8.4,3.981,nM
CHEMBL418690,COc1cccc(-n2ncc3c(N/N=C/c4ccc(S(=O)(=O)NCCN(C)C)cc4)ncnc32)c1,8.0,10.0,nM
CHEMBL442363,COc1cccc(-n2nc(C)c3c(N/N=C(\C)c4ccncc4)ncnc32)c1,5.2,6309.57,nM
CHEMBL66170,COc1cccc(-n2ncc3c(N/N=C/c4ccccc4)ncnc32)c1,8.0,10.0,nM
CHEMBL65988,COc1cccc(-n2ncc3c(N/N=C/c4ccc(C(=O)O)cc4)ncnc32)c1,7.5,31.62,nM
CHEMBL293191,COc1cccc(-n2ncc3c(N/N=C/c4ccc(OCc5ccc(F)cc5)cc4)ncnc32)c1,5.6,2511.89,nM
CHEMBL63803,COc1cc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)ccc1O,7.0,100.0,nM
CHEMBL306692,FC(F)(F)Oc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1,6.5,316.23,nM
CHEMBL66453,COc1cccc(-n2ncc3c(N/N=C/c4cccc(S(C)(=O)=O)c4)ncnc32)c1,8.4,3.981,nM
