molecule_chembl_id,canonical_smiles,pchembl_value,bioactivity_class,smiles_clean,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL37689,COC(=O)c1cccc(CSc2nnc(-c3ccncc3)o2)c1,5.96,0,COC(=O)c1cccc(CSc2nnc(-c3ccncc3)o2)c1,327.365,3.2105000000000015,0,7
CHEMBL99779,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1,5.0,0,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1,417.3060000000001,5.6867000000000045,1,1
CHEMBL121543,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(CC#CO)ccc2N1,6.7,1,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(CC#CO)ccc2N1,370.3300000000001,4.2242000000000015,3,2
CHEMBL316485,CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,5.68,0,CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,341.2080000000001,4.116300000000002,1,1
CHEMBL318208,Cn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,6.4,1,Cn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,341.20799999999997,4.102400000000002,1,2
CHEMBL317964,Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,6.89,1,Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,262.312,3.637920000000001,2,1
CHEMBL120030,CC(=O)OCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,6.3,1,CC(=O)OCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,399.2440000000001,4.007100000000003,1,3
CHEMBL331722,O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2cccnc2N1,3.30100000432265,0,O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2cccnc2N1,283.718,3.3779000000000012,2,2
CHEMBL331120,CSC1=Nc2ccccc2-c2c(c3cc([N+](=O)[O-])ccc3n2C)C1,3.0,0,CSC1=Nc2ccccc2-c2c(c3cc([N+](=O)[O-])ccc3n2C)C1,337.4040000000001,4.702600000000004,0,5
CHEMBL95477,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cccc(O)c2N1,5.37,0,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cccc(O)c2N1,343.18,3.7976000000000014,3,2
CHEMBL545053,Cl.NCCCCOc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc(Br)cc12,7.52,1,NCCCCOc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc(Br)cc12,414.303,4.209700000000002,3,3
CHEMBL97844,CCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,4.62,0,CCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,355.23500000000007,4.506400000000003,1,1
CHEMBL121958,COC(=O)/C=C/c1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,6.46,1,COC(=O)/C=C/c1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,400.3560000000001,4.534500000000002,2,3
CHEMBL325403,COc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,7.66,1,COc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,323.30800000000005,3.2463000000000015,2,4
