molecule_chembl_id,canonical_smiles,pchembl_value,bioactivity_class,smiles_clean,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3393359,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)n1,7.58,1,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)n1,306.32900000000006,1.7281799999999994,1,6
CHEMBL3393358,N#Cc1cc(F)cc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,6.16,1,N#Cc1cc(F)cc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,323.33100000000013,2.4722799999999996,1,5
CHEMBL3393357,N#Cc1cc(-c2c[nH]c3ncnc(N4CCOCC4)c23)ccc1F,6.04,1,N#Cc1cc(-c2c[nH]c3ncnc(N4CCOCC4)c23)ccc1F,323.33099999999996,2.4722800000000005,1,5
CHEMBL3393356,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1F,8.05,1,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1F,323.3310000000001,2.4722799999999996,1,5
CHEMBL3393355,Clc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,7.89,1,Clc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,314.77600000000007,3.1149000000000013,1,4
CHEMBL3393354,COc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,7.34,1,COc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,310.3570000000001,2.4701000000000004,1,5
CHEMBL3393353,c1ccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)cc1,7.85,1,c1ccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)cc1,280.33099999999996,2.4615,1,4
CHEMBL3393352,COCC1CCCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,6.66,1,COCC1CCCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,347.42200000000014,3.3593800000000016,1,5
CHEMBL3393351,COC1CCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)CC1,6.02,1,COC1CCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)CC1,333.39500000000015,3.1117800000000013,1,5
CHEMBL3393350,COC1CCCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,6.81,1,COC1CCCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,333.39500000000015,3.1117800000000013,1,5
CHEMBL3393349,CN1CCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)CC1,5.28,0,CN1CCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)CC1,318.3840000000001,2.24838,1,5
CHEMBL3393348,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,7.543333333333333,1,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,305.34100000000007,2.3331799999999996,1,5
CHEMBL3393347,CCN(CC)c1ncnc2[nH]cc(-c3cccc(C#N)c3)c12,6.82,1,CCN(CC)c1ncnc2[nH]cc(-c3cccc(C#N)c3)c12,291.35800000000006,3.342780000000002,1,4
CHEMBL3393346,CN(C)c1ncnc2[nH]cc(-c3cccc(C#N)c3)c12,7.82,1,CN(C)c1ncnc2[nH]cc(-c3cccc(C#N)c3)c12,263.30400000000003,2.5625800000000005,1,4
CHEMBL3393345,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCC4)c23)c1,6.49,1,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCC4)c23)c1,275.31499999999994,2.7066800000000004,1,4
CHEMBL3393344,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCCC4)c23)c1,7.19,1,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCCC4)c23)c1,289.342,3.0967800000000008,1,4
CHEMBL3393343,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCCCC4)c23)c1,7.55,1,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCCCC4)c23)c1,303.369,3.486880000000002,1,4
CHEMBL3393342,C[C@@H]1CCCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,6.77,1,C[C@@H]1CCCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,317.39600000000013,3.7328800000000024,1,4
CHEMBL3393341,C[C@H]1CCCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,7.31,1,C[C@H]1CCCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,317.39600000000013,3.7328800000000024,1,4
CHEMBL3409458,CN1C(=O)c2ccccc2N(C)c2nc(Nc3ccc(C(=O)N4CCC(N5CCCCC5)CC4)cc3Cl)ncc21,7.14,1,CN1C(=O)c2ccccc2N(C)c2nc(Nc3ccc(C(=O)N4CCC(N5CCCCC5)CC4)cc3Cl)ncc21,560.1020000000004,5.322000000000005,1,7
CHEMBL3409459,CN1Cc2ccccc2N(C)c2nc(Nc3ccc(C(=O)N4CCC(N5CCCCC5)CC4)cc3Cl)ncc21,7.29,1,CN1Cc2ccccc2N(C)c2nc(Nc3ccc(C(=O)N4CCC(N5CCCCC5)CC4)cc3Cl)ncc21,546.1190000000004,5.681800000000006,1,7
CHEMBL3409462,Nc1ccc(C(=O)N2CCC(N3CCCCC3)CC2)cc1Cl,6.18,1,Nc1ccc(C(=O)N2CCC(N3CCCCC3)CC2)cc1Cl,321.852,3.0127000000000015,1,3
CHEMBL3590142,N#Cc1ccc(Nc2ccc3[nH]c(=O)[nH]c3c2)c([N+](=O)[O-])c1,6.324999999999999,1,N#Cc1ccc(Nc2ccc3[nH]c(=O)[nH]c3c2)c([N+](=O)[O-])c1,295.25800000000004,2.3796799999999996,3,5
CHEMBL3590143,O=C(NCCO)c1ccc(Nc2nc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,5.7,0,O=C(NCCO)c1ccc(Nc2nc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,418.8840000000001,4.415900000000002,3,5
CHEMBL3040018,Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,5.48,0,Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,479.58800000000014,4.248120000000003,3,7
CHEMBL3588873,CC(c1ccc(NC(=O)c2cc(C3CC3)[nH]n2)cc1)N1CCOCC1,5.72,0,CC(c1ccc(NC(=O)c2cc(C3CC3)[nH]n2)cc1)N1CCOCC1,340.4270000000002,2.9326000000000008,2,4
CHEMBL3604124,CN1CCN(c2ccc(OCc3ccccc3)c(C(=O)Nc3cccnc3)c2)CC1,7.03,1,CN1CCN(c2ccc(OCc3ccccc3)c(C(=O)Nc3cccnc3)c2)CC1,402.4980000000001,3.6647000000000025,1,5
CHEMBL3914163,COCCN1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,7.965,1,COCCN1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,396.49500000000023,2.575500000000001,1,7
CHEMBL3967186,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(CCF)CC4)ncn3)c2c1,7.865,1,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(CCF)CC4)ncn3)c2c1,384.4590000000001,2.898600000000001,1,6
CHEMBL3904862,CC(C)Oc1cc2c(-c3cc(N4CCN(S(C)(=O)=O)CC4)ncn3)n[nH]c2cc1F,8.03,1,CC(C)Oc1cc2c(-c3cc(N4CCN(S(C)(=O)=O)CC4)ncn3)n[nH]c2cc1F,434.4970000000001,2.0277999999999996,1,7
CHEMBL3914976,CC(C)Oc1cc2c(-c3cc(N4C[C@@H](C)O[C@@H](C)C4)ncn3)n[nH]c2cc1F,8.1,1,CC(C)Oc1cc2c(-c3cc(N4C[C@@H](C)O[C@@H](C)C4)ncn3)n[nH]c2cc1F,385.44300000000004,3.559800000000002,1,6
CHEMBL3917138,FC1(F)CCN(c2cc(-c3n[nH]c4ccc(-c5cccnc5)cc34)ncn2)CC1,7.96,1,FC1(F)CCN(c2cc(-c3n[nH]c4ccc(-c5cccnc5)cc34)ncn2)CC1,392.4130000000002,4.317400000000004,1,5
CHEMBL3942400,CC(C)c1nnc(-c2cc(-c3ccc4[nH]ccc4c3)cnc2N)o1,6.04,1,CC(C)c1nnc(-c2cc(-c3ccc4[nH]ccc4c3)cnc2N)o1,319.3680000000001,3.985500000000002,2,5
CHEMBL3966726,Nc1ncc(-c2ccc3[nH]ccc3c2)cc1-c1nnc(C2CC2)o1,6.056,1,Nc1ncc(-c2ccc3[nH]ccc3c2)cc1-c1nnc(C2CC2)o1,317.35200000000015,3.7395000000000023,2,5
CHEMBL3936985,CN1CCc2cc(-c3cnc(N)c(-c4nnc(C5CC5)o4)c3)ccc21,6.093999999999999,1,CN1CCc2cc(-c3cnc(N)c(-c4nnc(C5CC5)o4)c3)ccc21,333.39500000000004,3.2505000000000015,1,6
CHEMBL3959735,Cc1ccc(-c2cnc(N)c(-c3nnc(C4CCN(C)CC4)o3)c2)cc1,5.755000000000001,0,Cc1ccc(-c2cnc(N)c(-c3nnc(C4CCN(C)CC4)o3)c2)cc1,349.4380000000001,3.498420000000002,1,6
CHEMBL3935728,CN1CCc2cc(-c3cnc(N)c(-c4nnc(C5CCNCC5)o4)c3)ccc21,6.04,1,CN1CCc2cc(-c3cnc(N)c(-c4nnc(C5CCNCC5)o4)c3)ccc21,376.4640000000001,2.8401000000000005,2,7
