Model,R-Squared,RMSE,Time Taken
HistGradientBoostingRegressor,0.629476664943996,0.7689638435268981,1.0623102188110352
RandomForestRegressor,0.6248595154252286,0.7737400998356678,4.079287528991699
LGBMRegressor,0.6037570898125058,0.7952046115671356,0.4803638458251953
XGBRegressor,0.5915891022607418,0.8073220208274264,0.6864047050476074
SVR,0.5861500283105796,0.8126800573202039,1.401869535446167
BaggingRegressor,0.5772677982654655,0.8213548074403786,0.4621469974517822
NuSVR,0.5770028907516516,0.8216121204418125,0.8005683422088623
MLPRegressor,0.5369438638472446,0.8596367220325862,7.915560960769653
GradientBoostingRegressor,0.5039338313820352,0.8897498887449182,1.275597333908081
KNeighborsRegressor,0.5020945562397254,0.8913978349722406,0.07425999641418457
