Model,matthews_corrcoef,ROC AUC,Accuracy,F1 Score,Time Taken
LGBMClassifier,0.46220900000647575,0.8866905716093652,0.9074074074074074,0.897584606633177,0.23978090286254883
ExtraTreesClassifier,0.4445702322640521,0.8291921535541026,0.9032921810699589,0.8942391297038794,0.4663217067718506
RandomForestClassifier,0.4383257671936605,0.8688673275680237,0.9053497942386831,0.8934247328797057,0.7044434547424316
ExtraTreeClassifier,0.436578351059091,0.6947479434718414,0.8991769547325102,0.8920794673593623,0.04051685333251953
XGBClassifier,0.4281914792753141,0.8753849398861,0.9074074074074074,0.8908476565924792,0.3992345333099365
BaggingClassifier,0.4129453505450881,0.8280742459396753,0.8950617283950617,0.8876745476597443,0.18805766105651855
