Model,R-Squared,RMSE,Time Taken
SVR,0.5397234264509088,0.6228118997081435,0.1769092082977295
HistGradientBoostingRegressor,0.5378328608897718,0.6240896750447499,0.7344374656677246
GradientBoostingRegressor,0.5370578703895427,0.6246127119929648,0.5484497547149658
RandomForestRegressor,0.5319382256425755,0.6280569898932752,1.5276458263397217
LGBMRegressor,0.5277974850047855,0.6308289474650216,0.17905426025390625
NuSVR,0.5250679801503952,0.6326495324388823,0.18510079383850098
BaggingRegressor,0.5089039707992652,0.6433253684366952,0.17682600021362305
KNeighborsRegressor,0.5012561456618865,0.648315260875428,0.03284645080566406
