Model,matthews_corrcoef,ROC AUC,Accuracy,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.5238567030299753,0.8262365591397849,0.9274924471299094,0.9225985406618257,0.10694456100463867
PassiveAggressiveClassifier,0.5173708150097307,0.8497849462365592,0.9305135951661632,0.9220328161229551,0.04920840263366699
DecisionTreeClassifier,0.5099165047945902,0.7544086021505376,0.9244712990936556,0.9201004304355439,0.05717945098876953
XGBClassifier,0.47164324764839005,0.9109139784946236,0.9244712990936556,0.9152530610032119,0.22574663162231445
LGBMClassifier,0.4285007886933262,0.9182795698924732,0.9214501510574018,0.9088094356713822,0.25205135345458984
LinearSVC,0.4220586074919705,0.854516129032258,0.9244712990936556,0.9035942049961535,0.12545180320739746
